Designator,Mid X,Mid Y,Layer,Rotation
J1,7.0000,31.7000,top,0.0
R4,4.2000,35.6000,top,90.0
R5,7.0000,35.6000,top,90.0
C1,9.8000,35.6000,top,90.0
R2,4.2000,39.4000,top,90.0
R3,7.0000,39.4000,top,90.0
C2,9.8000,39.4000,top,90.0
J2,7.0000,42.9000,top,0.0
# 座標系は Gerber と同一（筐体座標 x右/y上）。原点は body 外形の左下。
