<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.09	12:00:00	119.332	119.771	118.799	119.539	14870	20911166000	1
2015.01.09	16:00:00	119.508	119.661	118.415	118.565	46960	80031764000	1
2015.01.09	20:00:00	118.568	118.661	118.376	118.376	37709	59187845000	1
2015.01.12	00:00:00	118.317	118.426	118.120	118.383	29189	48037737000	1
2015.01.12	04:00:00	118.383	118.504	118.101	118.129	28707	53292626000	1
2015.01.12	08:00:00	118.129	119.148	118.113	119.135	43394	94030968000	1
2015.01.12	12:00:00	119.136	119.317	118.772	118.859	45996	107393699000	1
2015.01.12	16:00:00	118.859	118.914	118.178	118.303	56530	121417061000	1
2015.01.12	20:00:00	118.303	118.386	118.126	118.339	38425	59665259000	1
2015.01.13	00:00:00	118.339	118.481	117.737	117.852	38314	66319327000	1
2015.01.13	04:00:00	117.848	118.700	117.788	118.677	40237	67841279000	1
2015.01.13	08:00:00	118.674	118.847	118.210	118.529	49197	93751342000	1
2015.01.13	12:00:00	118.532	118.685	118.350	118.454	47891	104472673000	1
2015.01.13	16:00:00	118.453	118.770	117.850	117.958	55494	130362980000	1
2015.01.13	20:00:00	117.954	118.101	117.536	117.921	51516	87380224000	1
2015.01.14	00:00:00	117.921	117.957	117.489	117.557	41121	65268325000	1
2015.01.14	04:00:00	117.557	117.649	116.997	117.120	43244	74977063000	1
2015.01.14	08:00:00	117.121	117.244	116.544	117.013	57189	117215241000	1
2015.01.14	12:00:00	117.013	117.164	116.068	116.323	55225	105749712000	1
2015.01.14	16:00:00	116.323	117.094	116.207	117.032	59658	134286596000	1
2015.01.14	20:00:00	117.035	117.434	116.858	117.317	45601	75912218000	1
2015.01.15	00:00:00	117.319	117.762	117.130	117.697	37746	62142201000	1
2015.01.15	04:00:00	117.697	117.835	117.567	117.761	35468	62948100000	1
2015.01.15	08:00:00	117.761	117.940	116.604	116.971	56936	107815351000	1
2015.01.15	12:00:00	116.974	117.032	116.236	116.921	78428	99859994000	1
2015.01.15	16:00:00	116.924	117.249	116.474	116.710	71620	100261837000	1
2015.01.15	20:00:00	116.708	116.726	116.139	116.147	49943	61447821000	1
2015.01.16	00:00:00	116.147	116.571	115.890	116.167	48818	60717717000	1
2015.01.16	04:00:00	116.166	116.483	115.850	116.432	46168	61678450000	1
2015.01.16	08:00:00	116.432	116.833	116.317	116.413	50762	91197800000	1
2015.01.16	12:00:00	116.413	116.841	116.327	116.670	34768	46407050000	1
2015.01.16	16:00:00	116.672	117.756	116.600	117.544	30767	18672900000	4
2015.01.16	20:00:00	117.563	117.678	117.355	117.614	15722	0	7
2015.01.19	00:00:00	117.476	117.649	116.958	117.150	13443	0	7
2015.01.19	04:00:00	117.154	117.285	116.916	117.100	12170	0	7
2015.01.19	08:00:00	117.100	117.378	117.011	117.218	13313	0	7
2015.01.19	12:00:00	117.221	117.463	117.156	117.452	8156	0	8
2015.01.19	16:00:00	117.454	117.577	117.371	117.515	7144	0	6
2015.01.19	20:00:00	117.510	117.776	117.483	117.540	4048	0	7
2015.01.20	00:00:00	117.568	118.234	117.556	118.095	6629	0	13
2015.01.20	04:00:00	118.103	118.332	118.039	118.292	6001	0	6
2015.01.20	08:00:00	118.287	118.521	117.975	118.276	11022	0	7
2015.01.20	12:00:00	118.275	118.762	118.252	118.495	11071	0	8
2015.01.20	16:00:00	118.497	118.716	118.244	118.692	15695	0	7
2015.01.20	20:00:00	118.691	118.858	118.639	118.792	5923	0	7
2015.01.21	00:00:00	118.793	118.818	118.384	118.432	5626	0	13
2015.01.21	04:00:00	118.433	118.527	117.664	117.838	10090	0	7
2015.01.21	08:00:00	117.836	117.904	117.302	117.702	11121	0	6
2015.01.21	12:00:00	117.693	117.859	117.227	117.258	11199	0	6
2015.01.21	16:00:00	117.261	118.164	117.173	117.999	17596	0	8
2015.01.21	20:00:00	117.994	118.045	117.736	117.948	5656	0	8
2015.01.22	00:00:00	117.961	118.150	117.793	118.028	5155	0	13
2015.01.22	04:00:00	118.028	118.328	117.999	118.189	5345	0	8
2015.01.22	08:00:00	118.189	118.313	117.646	117.670	9804	0	7
2015.01.22	12:00:00	117.668	118.081	117.445	117.716	13121	0	8
2015.01.22	16:00:00	117.721	118.152	117.245	118.127	17067	0	6
2015.01.22	20:00:00	118.130	118.658	118.116	118.465	7294	0	7
2015.01.23	00:00:00	118.481	118.807	118.344	118.515	6809	0	13
2015.01.23	04:00:00	118.514	118.702	118.229	118.360	6272	0	7
2015.01.23	08:00:00	118.359	118.498	118.092	118.430	12120	0	7
2015.01.23	12:00:00	118.432	118.588	117.751	117.894	13695	0	8
2015.01.23	16:00:00	117.895	117.944	117.539	117.833	13944	0	9
2015.01.23	20:00:00	117.834	117.860	117.708	117.733	5141	0	7
2015.01.26	00:00:00	117.506	117.822	117.257	117.731	7574	0	13
2015.01.26	04:00:00	117.732	117.783	117.491	117.659	4612	0	8
2015.01.26	08:00:00	117.657	118.389	117.581	118.091	10934	0	6
2015.01.26	12:00:00	118.089	118.475	118.078	118.392	9142	0	7
2015.01.26	16:00:00	118.395	118.475	118.125	118.368	11028	0	7
2015.01.26	20:00:00	118.371	118.494	118.305	118.446	3969	0	8
2015.01.27	00:00:00	118.452	118.651	118.345	118.371	5194	0	13
2015.01.27	04:00:00	118.372	118.398	118.121	118.261	5704	0	9
2015.01.27	08:00:00	118.255	118.261	117.845	118.121	10973	0	3
2015.01.27	12:00:00	118.117	118.155	117.421	117.431	13215	0	2
2015.01.27	16:00:00	117.430	117.892	117.334	117.863	17095	0	2
2015.01.27	20:00:00	117.861	118.001	117.710	117.862	7823	0	2
2015.01.28	00:00:00	117.865	118.259	117.719	118.127	9314	0	2
2015.01.28	04:00:00	118.129	118.207	117.997	118.079	6075	0	4
2015.01.28	08:00:00	118.078	118.225	117.647	117.802	11918	0	2
2015.01.28	12:00:00	117.797	117.916	117.549	117.757	11964	0	3
2015.01.28	16:00:00	117.762	117.921	117.657	117.794	15147	0	2
2015.01.28	20:00:00	117.792	117.974	117.250	117.521	15943	0	2
2015.01.29	00:00:00	117.531	117.777	117.381	117.762	6434	0	2
2015.01.29	04:00:00	117.759	118.087	117.597	117.612	6661	0	7
